state,abbr,DA,Wind,RT
8/7/2019,HE7,14.67,24,14.57
8/7/2019,HE8,15.57,22,15.32
8/7/2019,HE9,15.95,18,17.41
8/7/2019,HE10,17.94,17,17.91
8/7/2019,HE11,22.12,14,20.32
8/7/2019,HE12,31.62,12,30.38
8/7/2019,HE13,54.36,10,32.21
8/7/2019,HE14,300,10,46.46
8/7/2019,HE15,516.65,10,78.06
8/7/2019,HE16,1009.54,10,56.45
8/7/2019,HE17,800.88,11,41.75
8/7/2019,HE18,416.75,12,29.78
8/7/2019,HE19,51.97,13,32.5
8/7/2019,HE20,33.99,16,25.18
8/7/2019,HE21,25.69,17,24.14
8/7/2019,HE 22,19.68,20,20.74
