state,abbr,DA,Wind,RT
6/11/2020,,-9.70,23,2820
6/12/2020,,-12.91,0,2820
6/12/2020,,-11.64,1,2820
6/12/2020,,-5.50,2,2820
6/12/2020,,-5.57,3,2820
6/12/2020,,-2.88,4,2820
6/12/2020,,-2.81,5,2825
6/12/2020,,-1.05,6,2850
6/12/2020,,-10.93,7,2850
6/12/2020,,-3.44,8,2850
6/12/2020,,9.58,9,2850
6/12/2020,,-9.15,10,2850
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
